,langLabel,code,countryLabel,speakers
sa,Sanskrit,sa,India,49736
gd,Scottish Gaelic,gd,"United States of America,Australia,New Zealand,Canada,United Kingdom",60130
st,Sesotho,st,"South Africa,Lesotho",6000000
sn,Shona,sn,"Botswana,Zimbabwe,Mozambique,Zambia",8300000
sk,Slovak,sk,"Slovakia,Ukraine,Romania,Serbia,Hungary",6000000
sl,Slovene,sl,"United States of America,Germany,Austria,Argentina,Italy,Hungary,Canada,Croatia,South Africa,Slovenia",2400000
so,Somali,so,"Ethiopia,Somaliland,Somalia,Djibouti,Kenya",16200000
es,Spanish,es,"El Salvador,Chile,Mexico,Cuba,Panama,Uruguay,Argentina,Peru,Spain,Ecuador,Paraguay,Bolivia,Honduras,Nicaragua,Venezuela,Gibraltar,Colombia,Guatemala,Equatorial Guinea,Costa Rica,Dominican Republic,Andorra,United States of America,Belize",480000000
su,Sundanese,su,Indonesia,32400000
sv,Swedish,sv,"Finland,Sweden,Åland Islands",9244250
tg,Tajik,tg,"Uzbekistan,Tajikistan,Afghanistan",14000000
ta,Tamil,ta,"Mauritius,Sri Lanka,Kenya,India,Malaysia,South Africa,Singapore",75000000
tt,Tatar,tt,Russia,5200000
te,Telugu,te,India,82000000
th,Thai,th,"Thailand,Cambodia",20700000
ti,Tigrinya,ti,"Ethiopia,Eritrea",7507780
ts,Tsonga,ts,"Zimbabwe,South Africa,Mozambique,Eswatini",13000000
tr,Turkish,tr,"Greece,Cyprus,Northern Cyprus,Turkey,Bulgaria",82231620
ak,Akan,ak,"Ivory Coast,Ghana",11000000
uk,Ukrainian,uk,"Ukraine,United States of America,Moldova,Kazakhstan,Romania,Serbia,Russia,Belarus,Hungary,Czech Republic,Canada,Poland,Slovakia",27300000
vi,Vietnamese,vi,Vietnam,76000000
cy,Welsh,cy,"United Kingdom,Argentina",724000
xh,Xhosa,xh,"Lesotho,Zimbabwe,South Africa",8177300
yi,Yiddish,yi,"Argentina,Russia,Belarus,Hungary,Netherlands,France,Sweden,Bosnia and Herzegovina,Canada,Poland,Costa Rica,South Africa,United Kingdom,Ukraine,Latvia,Lithuania,United States of America,Moldova,Israel,Belgium,Brazil,Germany,Mexico,Romania,Australia,Estonia,Panama,Uruguay,Austria,Switzerland",1000000
yo,Yoruba,yo,"Nigeria,Benin,Togo",37800000
zu,Zulu,zu,"South Africa,Mozambique,Lesotho",12100000
